id,tarih,ürün,ürün besin değeri,ürün kategorisi,ürün üretim yeri,market,şehir
0,2021-01-01,kıyma,120,et,Yurt içi,M,A
1,2021-01-01,tavuk,103,et,Yurt içi,M,A
2,2021-01-01,hindi,160,et,Yurt içi,M,A
3,2021-01-01,Bakla-kuru,354,sebze ve bakliyat,Yurt içi,M,A
4,2021-01-01,Bakla-taze,72,sebze ve bakliyat,Yurt içi,M,A
5,2021-01-01,Bamya,42,sebze ve bakliyat,Yurt içi,M,A
6,2021-01-01,Barbunya-kuru,346,sebze ve bakliyat,Yurt içi,M,A
7,2021-01-01,Bezelye-taze,47,sebze ve bakliyat,Yurt içi,M,A
8,2021-01-01,Biber-yeşil,25,sebze ve bakliyat,Yurt içi,M,A
9,2021-01-01,Brüksel laha.,47,sebze ve bakliyat,Yurt içi,M,A
10,2021-01-01,Domates,25,sebze ve bakliyat,Yurt içi,M,A
11,2021-01-01,Enginar,63,sebze ve bakliyat,Yurt içi,M,A
12,2021-01-01,Fasulye-kuru,333,sebze ve bakliyat,Yurt içi,M,A
13,2021-01-01,Fasulye-taze,35,sebze ve bakliyat,Yurt içi,M,A
14,2021-01-01,Havuç,42,sebze ve bakliyat,Yurt içi,M,A
15,2021-01-01,Salatalık,8,sebze ve bakliyat,Yurt içi,M,A
16,2021-01-01,Ispanak,25,sebze ve bakliyat,Yurt içi,M,A
17,2021-01-01,Kabak,19,sebze ve bakliyat,Yurt içi,M,A
18,2021-01-01,Karnabahar,25,sebze ve bakliyat,Yurt içi,M,A
19,2021-01-01,Kereviz-baş,38,sebze ve bakliyat,Yurt içi,M,A
20,2021-01-01,Kırmızı-pancar,42,sebze ve bakliyat,Yurt içi,M,A
21,2021-01-01,Lahana,24,sebze ve bakliyat,Yurt içi,M,A
22,2021-01-01,Mantar,16,sebze ve bakliyat,Yurt içi,M,A
23,2021-01-01,Marul,15,sebze ve bakliyat,Yurt içi,M,A
24,2021-01-01,Mercimek-kuru,351,sebze ve bakliyat,Yurt içi,M,A
25,2021-01-01,Nohut,376,sebze ve bakliyat,Yurt içi,M,A
26,2021-01-01,Pancar,42,sebze ve bakliyat,Yurt içi,M,A
27,2021-01-01,Patates,83,sebze ve bakliyat,Yurt içi,M,A
28,2021-01-01,Patlıcan,24,sebze ve bakliyat,Yurt içi,M,A
29,2021-01-01,Pazı,27,sebze ve bakliyat,Yurt içi,M,A
30,2021-01-01,Pırasa,52,sebze ve bakliyat,Yurt içi,M,A
31,2021-01-01,Semizotu,32,sebze ve bakliyat,Yurt içi,M,A
32,2021-01-01,Buğday ekmeği,247,tahıl ve ürünleri,Yurt içi,M,A
33,2021-01-01,Bulgur,350,tahıl ve ürünleri,Yurt içi,M,A
34,2021-01-01,Erişte,390,tahıl ve ürünleri,Yurt içi,M,A
35,2021-01-01,Makarna,390,tahıl ve ürünleri,Yurt içi,M,A
36,2021-01-01,Mısır,351,tahıl ve ürünleri,Yurt içi,M,A
37,2021-01-01,Mısır unu,353,tahıl ve ürünleri,Yurt içi,M,A
38,2021-01-01,Nişasta,353,tahıl ve ürünleri,Yurt içi,M,A
39,2021-01-01,Pilav,368,tahıl ve ürünleri,Yurt içi,M,A
40,2021-01-01,Pirinç unu,353,tahıl ve ürünleri,Yurt içi,M,A
41,2021-01-01,Şehriye,390,tahıl ve ürünleri,Yurt içi,M,A
42,2021-01-01,Tarhana,329,tahıl ve ürünleri,Yurt içi,M,A
43,2021-01-01,Yulaf unu,402,tahıl ve ürünleri,Yurt içi,M,A
44,2021-01-01,yumurta,100,süt ürünleri ve kahvaltılık,Yurt içi,M,A
45,2021-01-01,beyaz peynir,150,süt ürünleri ve kahvaltılık,Yurt içi,M,A
46,2021-01-01,Kaşar peyniri,170,süt ürünleri ve kahvaltılık,Yurt içi,M,A
47,2021-01-01,krema,200,süt ürünleri ve kahvaltılık,Yurt içi,M,A
48,2021-01-01,yoğurt,90,süt ürünleri ve kahvaltılık,Yurt içi,M,A
49,2021-01-01,sucuk,125,süt ürünleri ve kahvaltılık,Yurt içi,M,A
50,2021-01-01,salam,125,süt ürünleri ve kahvaltılık,Yurt içi,M,A
51,2021-01-01,sosis,120,süt ürünleri ve kahvaltılık,Yurt içi,M,A
52,2021-01-01,tam buğday ekmek,250,süt ürünleri ve kahvaltılık,Yurt içi,M,A
53,2021-01-01,kaymak,350,süt ürünleri ve kahvaltılık,Yurt içi,M,A
54,2021-01-01,bal,400,süt ürünleri ve kahvaltılık,Yurt içi,M,A
55,2021-01-01,tereyağ,375,süt ürünleri ve kahvaltılık,Yurt içi,M,A
56,2021-01-01,Armut,57,meyve,Yurt içi,M,A
57,2021-01-01,Çilek,39,meyve,Yurt içi,M,A
58,2021-01-01,Elma,52,meyve,Yurt içi,M,A
59,2021-01-01,Erik türleri,60,meyve,Yurt içi,M,A
60,2021-01-01,İncir,80,meyve,Yurt içi,M,A
61,2021-01-01,Karadut,93,meyve,Yurt içi,M,A
62,2021-01-01,Karpuz,24,meyve,Yurt içi,M,A
63,2021-01-01,Kavun,28,meyve,Yurt içi,M,A
64,2021-01-01,Kayısı,54,meyve,Yurt içi,M,A
65,2021-01-01,Kiraz,79,meyve,Yurt içi,M,A
66,2021-01-01,Limon,17,meyve,Yurt içi,M,A
67,2021-01-01,Mandalina,36,meyve,Yurt içi,M,A
68,2021-01-01,Muz,90,meyve,Yurt içi,M,A
69,2021-01-01,Nar,77,meyve,Yurt içi,M,A
70,2021-01-01,Portakal,41,meyve,Yurt içi,M,A
71,2021-01-01,Şeftali,49,meyve,Yurt içi,M,A
72,2021-01-01,Üzüm,74,meyve,Yurt içi,M,A
73,2021-01-01,Vişne,57,meyve,Yurt içi,M,A
